host	site_group	service	visible_email	visible_phone	whatsapp_target	form_target	ownership	match_to_main	issue	recommendation
travel.mavash.net	D	Travel Companion SaaS				Mavash product	MISSING	אין DNS ציבורי; HTML מ-Oracle:80. אין פרטי קשר.	מוצר. אין להוסיף footer Mavash בלי אישור. DNS נפרד.
georgia.mavash.net	D	טיול לגיאורגיה				personal/content	MISSING	אין DNS ציבורי; HTML קטן מ-Oracle:80. אין פרטי קשר.	תוכן אישי/טיול. אין CTA מסחרי. לא לגעת בתוכן.
bulgaria.mavash.net	D	טיול בולגריה 2026				personal/content	MISSING	אין DNS ציבורי; HTML קטן מ-Oracle:80. אין פרטי קשר.	תוכן אישי/טיול. אין CTA מסחרי. לא לגעת.
dashboard.mavash.net	D	דשבורד תיק השקעות				personal/tool	MISSING	אין DNS ציבורי; HTML מ-Oracle:80. אין פרטי קשר.	כלי אישי. אין footer שיווקי.
api.mavash.net	E	Evolution API JSON				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 200 JSON Evolution API welcome. אין UI שיווקי.	אין להוסיף footer/פרטי קשר. לא לגעת.
dev.n8n.mavash.net	E	n8n sandbox login				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 200 מסך n8n.io.	אין footer שיווקי. לא לגעת.
n8n.mavash.net	E	n8n Jarvis				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 200 מסך n8n.io.	אין footer שיווקי. לא לגעת.
newsite.mavash.net	E	n8n Lead hub				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 200 מסך n8n.io. כמה אתרים מפנים ל-webhooks כאן.	אין footer שיווקי. לא לגעת ב-Lead Intake.
openreply.mavash.net	E	OpenReply Instagram				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 200 דף מוצר/לוגין OpenReply. אין פרטי Mavash.	אין להוסיף footer Mavash. לא לגעת.
portainer.mavash.net	E	Portainer				INFRASTRUCTURE	INFRASTRUCTURE	HTTPS 401 Basic Auth. נשאר מוגן.	אין לפתוח לציבור. לא לגעת.
